'sheng'li'de'rong'guang 胜利的荣光
'cang'qiong'long'yan 苍穹龙炎
'yue'dun'xue'ji 月遁血祭
'she'shou'tian'jian 射手天箭
'wei'xing'guang'shu 卫星光束
'tian'shi'zhi'yu 天使之羽
'xing'tian'kai'men 星天开门
'zhong'duan'su'du 终端速度
'che'tui 撤退
'yan'wu 演武
'xue'qiang 血枪
'bao'bian 豹变
'zhan'dou'zhun'bei'wan'bi 战斗准备完毕
'zhong'qiang'jian 重枪剑
'mo'dao'du'tou'dan 魔导独头弹
'mo'dao'kuo'san'dan 魔导扩散弹
'kuai'bu 快步
'mo'dao'pao'ta 魔导炮塔
'mo'dao'liu'dan 魔导榴弹
'si'fen'ke'si'zhi'mi 斯芬克斯之谜
'bei'lun 悖论
'di'fu'an'ning 地府安宁
'an'bing'jie 暗冰结
'an'bing'dong 暗冰冻
'han'bing'jing'qiu 寒冰晶球
'an'lie'yan 暗烈炎
'lie'huo'jing'qiu 烈火晶球
'han'bing'jing'qiu'zha'lie 寒冰晶球炸裂
'lie'huo'jing'qiu'zha'lie 烈火晶球炸裂
'hun'dun'zhi'dian 混沌之巅
'gu'dai'yuan'huan 古代圆环
'gu'huo'pen'fa 古火喷发
'fa'ze'bian'geng 法则变更
'hun'dun'kuo'san 混沌扩散
'shang'huo 熵火
'yin'mie 湮灭
'ju'shu 拘束
'yin'ying'quan 阴影拳
'tai'yang'shen'zhi'heng 太阳神之衡
'fang'lang'shen'zhi'jian 放浪神之箭
'zhan'zheng'shen'zhi'qiang 战争神之枪
'shi'jie'shu'zhi'gan 世界树之干
'he'liu'shen'zhi'ping 河流神之瓶
'jian'zhu'shen'zhi'ta 建筑神之塔
'du'zhen 毒针
'ye'xing'lian'zhuo 野性连啄
'lve'duo'zhi'feng 掠夺之风
'zai'huo'zhi'feng 灾祸之风
'niu'qu'de'ku'sheng 扭曲的哭声
'ma'bi'chuan'ci 麻痹穿刺
'guan'chuan 贯穿
'sao'dong 骚动
'zhan'si 粘丝
'fen'hua 焚化
'shi'wan'fei'quan 石腕飞拳
'chen'dao 沉岛
'sui'jing 碎颈
'shuai'tou 甩头
'kou'di 口笛
'guang'ming'huo 光明火
'wa'tui 蛙腿
'ni'shui'wu 溺水雾
'chuan'kong 穿孔
'wan'yan 蜿蜒
'xuan'zhuan'gong'ji 旋转攻击
'di'yao 低咬
'man'huang'pao'xiao 蛮荒咆哮
'di'san'tui'qian'sao 第三腿前扫
'di'san'tui'hou'sao 第三腿后扫
'chu'mo 触摸
'wa'nu'quan 瓦努拳
'yu'yi'shan 羽翼闪
'chen'xuan'feng 尘旋风
'tu'qiang 突枪
'huo'pao 火炮
'liu'dan 榴弹
'san'bing 散冰
'dong'jie 冻结
'ping'di'chui'da 平地捶打
'dui'jue 对决
'ji'rou'shou'suo 肌肉收缩
'wu'shui 污水
'ran'huo'tu'xi 燃火吐息
'shi'hua'zhi'tong 石化之瞳
'luo'hun 裸魂
'meng'du'tu'xi 猛毒吐息
'han'leng'bo 寒冷波
'san'zhen'dan 散针弹
'bu'zhi'bao'dan 布置爆弹
'bu'ding'bian'da 不定鞭打
'feng'bo 风播
'ci'bian 刺边
'zhua'bing 抓病
'jiao'sheng 叫声
'ge'bu'fang'yu 哥布防御
'fei'yu 飞鱼
'ji'feng'xue 急风雪
'dan'shui'pao 淡水炮
'yan'shui'tu'xi 盐水吐息
'guang'qiu 光球
'tuo'huo 唾火
'fan'suan 反酸
'ni'chou 腻臭
'zhi'gao'qi'ang 趾高气昂
'jian'ying'ci 坚硬刺
'ce'sao 侧扫
'tu'qi 吐气
'lin'zhong'hao'jiao 临终嚎叫
'shi'le'yuan 失乐园
'ji'ji'za'za 唧唧咋咋
'lu'mang'fang'zong 鲁莽放纵
'qing'ci 轻刺
'wei'zhong'zhen 未终针
'ning'shi 凝视
'duo'zui'duo'shi 多嘴多事
'lv'ye'dao 绿叶刀
'zhan'dou 颤抖
'fei'liao'tu'xi 废料吐息
'rong'yan'tu'xi 熔岩吐息
'yu'xue'qi'fa 雨雪齐发
'xiong'can'zheng'da 凶残正打
'sha'ren'zhua 杀人爪
'qian'zhao'guang 前照光
'bu'lie'zhua 捕猎爪
'hu'luan'yao 胡乱咬
'leng'zhan 冷颤
'di'guo'shi'qiang'ren'ji 帝国式强韧剂
'di'guo'shi'huo'li'ji 帝国式活力剂
'zhong'ya 终牙
'dian'zhen 电震
'sheng'wu'dian 生物电
'yan'hu'pao'huo 掩护炮火
'duan'bo'ji'she 短波激射
'bei'dong'shi'hong'wai'xian'you'dao'xi'tong 被动式红外线诱导系统
'tian'kong'de'e'yi 天空的恶意
'tian'kong'de'qing'mie 天空的轻蔑
'san'zhong'luo'xuan 三重螺旋
'ni'feng 逆风
'cang'qiong'pi'li 苍穹霹雳
'shou'zang'pin'zhi'zuo 收藏品制作
'feng'zhi'mei'ming 风之美名
'huo'zhi'mei'ming 火之美名
'bing'zhi'mei'ming 冰之美名
'tu'zhi'mei'ming 土之美名
'lei'zhi'mei'ming 雷之美名
'shui'zhi'mei'ming 水之美名
'lian'guan'cai'ji 连贯采集
'da'di'de'en'hui 大地的恩惠
'zhuan'yi'ci'yu 专一刺鱼
'qing'sao'mo'zhou 清扫魔咒
'yan'xuan 严选
'pai'ji'shui'mian 拍击水面
'zhuan'yi'chui'diao 专一垂钓
'zai'li'yong 再利用
'deng'shan'zhe'de'ji'qiao 登山者的技巧
'kai'tuo'zhe'de'ji'qiao 开拓者的技巧
'yuan'su'zhi'mei'ming 元素之美名
'zhang'qi'jian'yue 长期俭约
'shen'sheng'lu'fei'qi 神圣路废弃
'zan'liu'fei'qi 暂留废弃
'man'dong'zuo 慢动作
'tong'xiang'zi'huai'long'chao'zhong 銅像自壊竜巣中
'fan'ji'tai'shi 反击态势
'wang'jia'luo'yin 王家烙印
'lao'bu'ke'po 牢不可破
'yi'tai'gong'ying 以太供应
'tai'yin'bo'dong'dan 太阴波动弹
'xue'chu'yu'ding 削除予定
'ji'le'zhi'feng 极乐之风
'hong'bao'shi'shou 红宝石兽
'hei'yao'bao'shi'shou 黑曜宝石兽
'pi'pa'wei 劈啪尾
'si'huo'sheng 死或生
'xu'jing'dian 蓄静电
'hei'se'wei'xie 黑色威胁
'dan'nai'jiu 蛋奶酒
'fang'yu'tai'shi 防御态势
'zheng'qi'pen'chu 蒸汽喷出
'hei'an'bing'dong 黑暗冰冻
'zhen'jing 震惊
'tong'ku'zhi'shou 痛苦之手
'xing'tian'ting'zhi 星天停止
'gu'dai'chao'zhong'li 古代超重力
'xiu'fu 锈斧
'guang'zhu 光柱
'gong'shui 供水
'kong'zhan'ji'dong 空战机动
'zai'lin'chong'ji 再临冲击
'zhao'huan'shi'mo 召唤使魔
'xu'wu'zhi'xue 虚无之血
'ji'sheng 寄生
'yan'jian 焰剑
'xiang'qi 香气
'cang'tian'huo'ye 苍天火液
'zhen'xuan'feng 阵旋风
'long'ta 龙踏
'mo'li'fan'she 魔力反射
'zhen'nao'zhan 震脑斩
'tian'kong'zhi'zhong 天空之种
'man'tian'fan'xing 满天繁星
'lian'dao'hui'wu 镰刀挥舞
'shen'yuan'shou'ge 深渊收割
'fu'chou'bao'fa 复仇爆发
'e'mo'xia'zhui 恶魔下坠
'xue'xing'shou'huo 血腥收获
'huo'yan'hua'guan 火焰花冠
'she'xing'chong'ji 蛇形冲击
'jiao're'di'yu 焦热地狱
'lian'dao'qiang'ji 镰刀强击
'shui'hua'pao 水化炮
'dai'dian'sao'wei 带电扫尾
'gong'sheng 共生
'chen'jin 沉浸
'qu'zhu 驱逐
'dian'xuan'wo 电漩涡
'shui'hua'bao'dan 水化爆弹
'xiang'yan'zhi'hou 飨宴之吼
'li'chi 利齿
'yi'yao'tuo'li 一咬脱离
'shui'hua'bao'po 水化爆破
'fu'shi'yao 腐蚀咬
'chong'du'zhang 虫毒瘴
'chong'du'fei'san 虫毒飞散
'chu'shou'hong'ji 触手轰击
'bu'jing'zhi'ta 不净之塔
'dan'zhi'mi'man 胆汁弥漫
'hei'fei 黑肺
'xu'wu'qi'yue 虚无契约
'pai'chu 排出
'wen'yi 瘟疫
'bu'jing'zhi'guang 不净之光
'fu'bai 腐败
'da'fu'bai 大腐败
'xu'wu'zhan 虚无斩
'xu'wu'xian'jing 虚无陷阱
'si'wang'chong'ji 死亡冲击
'ji'e'yao 极饿咬
'shen'yuan'hao 深渊嚎
'xin'sheng'yun'wen 新生韵文
'qi'ji'zhi'guang 奇迹之光
'zhi'zuo'ren'ming'ling 制作人命令
'xu'wu'qiang 虚无墙
'xu'wu'zhao 虚无罩
'zhan'ye'bao'dan 粘液爆弹
'zhan'ye'pen'wu 粘液喷雾
'bai'se'tu'xi 白色吐息
'kuang'chou 狂抽
'yi'jie'yao'qi 异界妖气
'gen'jing'feng'bao 根茎风暴
'cai'ta'nu'zhen 踩踏怒震
'sheng'kai 盛开
'a'tuo'pin'bao'zi 阿托品孢子
'mei'huo'shi'xian 魅惑视线
'hua'ban'yu 花瓣雨
'gen'chu 根除
'zhen'kong'xi'hun 真空吸魂
'mei'jun 霉菌
'fu'lan 腐烂
'e'chou'qi 恶臭气
'nian'jun'zha'lie 黏菌炸裂
'fu'chou'qi 腐臭气
'fang'yu'zhi'shi 防御指示
'bao'lie 爆裂
'shi'fang'xin'xi'su 释放信息素
'nv'wang'feng'ci 女王蜂刺
'feng'du'su'fei'jian 蜂毒素飞溅
'gong'ji'zhi'shi 攻击指示
'xie'zuo'zhi'shi 协作指示
'zhi'xian'fang'chui 直线纺锤
'rui'li'fang'chui 锐利纺锤
'jiao'cha'huo'li 交叉火力
'tian'zhong 天踵
'xie'long'mu'guang 邪龙目光
'xie'long'mo'yan 邪龙魔炎
'zhan'nv'shen'zhi'qiang 战女神之枪
'cang'qiong'ti'shi 苍穹体势
'jue'dui'xin'yang 绝对信仰
'chuan'yue'cang'qiong 穿越苍穹
'chun'cui'ling'hun 纯粹灵魂
'xuan'ding'mu'biao 选定目标
'yi'tai'fu'zhi 以太复制
'zhi'ming'zhan 致命斩
'guang'liu'qiang 光流枪
'zu'zhou'fu'chong 诅咒俯冲
'guang'liu'si'lie 光流撕裂
'tu'guan 突贯
'cai'jue 采掘
'fu'bao 腐爆
'pei'yang'bao'dan'guai 培养爆弹怪
'lie'huo'nu'ma 烈火怒骂
'di'mian'bao'po 地面爆破
'bao'bao'bao'dan 爆爆爆弹
'cang'yan 苍炎
'bian'hua 变化
'zi'wo'yi'shi 自我意识
'yong'li'tou'zhi 用力投掷
'lao'shu'zhi'nu 老树之怒
'zi'dan 子弹
'ling'shui 灵水
'zai'nan 灾难
'e'jiao 额角
'kong'jiao 恐角
'tai'gu'mu'guang 太古目光
'zhan'mo 粘膜
'du'qi'pen'fa 毒气喷发
'du'qi'bao'fa 毒气爆发
'wo'liu'hua'shi 我流花时
'wo'liu'yue'lun 我流月轮
'tian'shui'ying'liu'jing'li 天水影流镜里
'du'qi'feng'bao 毒气风暴
'yu'zhi 淤滞
'qiao'da 敲打
'e'meng 恶梦
'zhan'niao'jiao 粘鸟胶
'nuan'guang 暖光
'leng'an 冷暗
'yao'wu'pai'chu 药物排出
'san'zhong'qiang'ji 三重强击
'ren'ci 仁慈
'mei'li 美丽
'xu'kong 虚空
'yi'zhi 意志
'mo'shen'zhi'nu 魔神之怒
'wu'xian 无限
'wu'xian'guang 无限光
'zhi'shi 知识
'mo'shen'zhi'tan 魔神之叹
'yan'ku'zhi'ren'ci 严酷之仁慈
'ren'ci'zhi'yan'ku 仁慈之严酷
'sheng'ming'ling'yu 生命领域
'sheng'ling'ling'yu 圣灵领域
'ji'pan'sui'ji 基盘碎击
'ci'bei'zhi'zhu 慈悲之柱
'wang'guo 王国
'shang'sheng'qi'liu 上升气流
'yan'li'zhi'zhu 严厉之柱
'li'chang 力场
'xu'kong'zhi'shou 虚空之手
'jian'yan 坚岩
'qi'yuan 起源
'si'fang'bao'zha 四方爆炸
'dian'qi'chong'ji 电气冲击
'tou'fang'zha'dan 投放炸弹
'ji'zhen'pao'quan 激震抛拳
'qian'zhi'ci'quan 牵制刺拳
'quan'li'zhong'quan 全力重拳
'yi'yin'er'jin 一饮而尽
'yao'wu'shi'xiao 药物失效
'qiang'suan'ju'du'yao 强酸剧毒药
'nu'tao'chong'quan 怒涛冲拳
'gang'meng'gou'quan 刚猛勾拳
'shui'qiu'zha'dan 水球炸弹
'wan'ju'chui 玩具锤
'yin'chi'de're'chang 音痴的热唱
're'qing'de'shan'guang 热情的闪光
're'qing'de'bo'dong 热情的波动
'ji'qing'de'shan'guang 激情的闪光
'mo'shi'guang'hui 魔石光辉
'mo'shi'po'lie 魔石破裂
'chi're'ning'shi 炽热凝视
'ji'yun 击晕
'bao'tou'fang'yu 抱头防御
'fan'ji 反击
'kong'ju'zhi'tong 恐惧之瞳
'nao'ju 闹剧
'bian'cheng'ren'ou 变成人偶
'ge'bu'huo'jian 哥布火箭
'zhen'han'dan 震撼弹
'diu'qi 丢弃
'zhe'lu 着陆
'zui'sheng'meng'si 醉生梦死
'shi'yao 噬咬
'huan'huo'lin'fen 幻惑鳞粉
'mei'huo'lin'fen 魅惑鳞粉
'du'su'lin'fen 毒素鳞粉
'du'su'fei'san 毒素飞散
'gu'dai'shen'sheng 古代神圣
'gu'dai'ji'feng 古代疾风
'gu'dai'fei'shi 古代飞石
'zhua'ji 抓击
'gu'dai'zhen'ce 古代侦测
'ni'zhuan 逆转
'zhuan'yi 转移
'sheng'liao 圣疗
'yin'you 引诱
'zhuan'sheng 转生
'rong'yao'zhi'jian 荣耀之剑
'fan'tan'ke'huo'jian'tong 反坦克火箭筒
'zhan'che'qian'jin 战车前进
'sheng'yuan 声援
'cheng'jie 惩戒
'ge'bu'shi'bo'dong'pao 哥布式波动炮
'ge'bu'lin'huo'hua 哥布林火花
'can'bao'tie'quan 残暴铁拳
'dao'dan'fa'she 导弹发射
'di'lei'san'bu 地雷散布
'yin'xing'di'lei'san'bu 隐形地雷散布
'huan'ying'xi'tong 幻影系统
'chao'tu'ji 超突击
'hun'he'dao'dan 混合导弹
'qiang'li'qian'chong'quan 强力前冲拳
'mo'li'she'ji 魔力射击
'pei'jian'geng'huan 配件更换
'po'huai'pao'ji 破坏炮击
'shuang'zhong'po'huai'pao'ji 双重破坏炮击
'huo'jian'fei'zuan 火箭飞钻
'shuang'zhong'fei'zuan'chong'ji 双重飞钻冲击
'zuan'tou'qu'dong 钻头驱动
'zhan'lun'huo'hua 战轮火花
'chao'jiu'ji'qiang'li'zi 超究极强离子
'jiu'ji'qiang'li'zi 究极强离子
'qiang'li'zi 强离子
'gao'du'suan'shu 高度算术
'gao'du'cuo'wu 高度错误
'ji'shu 计数
'sheng'ming'ji'suan'shu 生命计算术
'neng'liang'zhi'yuan 能量支援
'jiu'ji'shan'guang 究极闪光
'yuan'su'gan'rao 元素干扰
'chong'ji'lei 冲击雷
'cheng'jie'bo 惩戒波
'cheng'jie'lei 惩戒雷
'da'di'dao'dan 大地导弹
'han'bing'dao'dan 寒冰导弹
'huo'yan'guang'shu 火焰光束
'qiang'ji 枪击
'ju'xing'guang'shu'pao 巨型光束炮
'fa'zhi'zheng'dun 法制整顿
'zhi'xing'zhun'bei 执行准备
'yi'wan'dun'zhen'dang 亿万吨震荡
'ji'guang'zhan'lun 激光战轮
'da'huo'yan'fang'she 大火炎放射
'shuang'zhong'huo'jian'fei'quan 双重火箭飞拳
'chao'ji'tiao'yue 超级跳跃
'mo'shi'xuan'yan 末世宣言
'dao'dan'qi'fa 导弹齐发
'xiao'xing'dao'dan 小型导弹
'da'xing'dao'dan 大型导弹
'zheng'yi'fei'ti 正义飞踢
'zheng'yi'he'shen 正义合神
'zhong'shen'kai'ting 终审开庭
'zhong'shen'bi'ting 终审闭庭
'ju'feng 飓风
'xi'tong'lian'jie 系统连接
'zheng'yi'feng'bao 正义风暴
'zheng'yi'zhen'dang'bo 正义震荡波
'zheng'yi'he'ti 正义合体
'a'la'mi'ge'meng'niu 阿拉米格猛牛
'dou'hun'ya 斗魂压
'ti'zuo'na'huo'yan 提佐纳火焰
'zhou'jian'zhan 咒剑斩
'heng'hui'lie'yan 恒辉烈焰
'sheng'li'fu'chong 圣力俯冲
'shen'sheng'tu'xi 神圣吐息
'zuan'shi'feng'bao 钻石风暴
'sui'lie 碎裂
'sha'wei 煞尾
'fei'chi 飞驰
'shi'hua'shi'xian 石化视线
'meng'ji'shang'gou'quan 猛击上勾拳
'qiu'zhuang'shan'dian 球状闪电
'xi'niu'gong'ji 犀牛攻击
'xi'niu'fang'yu 犀牛防御
'xi'shi 吸蚀
'kuang'shui 狂水
'shen'mi'zhi'guang 神秘之光
'shuang'zhong'she'xian 双重射线
'xu'wu'zhi'shou 虚无之手
'san'bo 散播
'qi'you'dan 汽油弹
'dian'hou'yi'ji 殿后一击
'sui'ji'zhan 碎击斩
'bao'nu'fu 暴怒斧
'xiao'xing'shan'lei 小型闪雷
'zhong'ji'shuang'zhong'huo'jian'fei'quan 终极双重火箭飞拳
'zhong'ji'mo'shi'xuan'yan 终极末世宣言
'zhong'ji'ju'xing'guang'shu'pao 终极巨型光束炮
'rong'guang'zhuang'ji 荣光撞击
'lei'yun'zhao'lai 雷云招来
'ming'liang'dian'guang 明亮电光
'tian'ma'liu'xing'chuai 天马流星踹
'rong'rong'ji'li 绒绒激励
'mo'gu'zhi'zhang 莫古之杖
'mo'gu'mo'gu'zha'fei'fei 莫古莫古炸飞飞
'yi'tai'mai'chong'zhao 以太脉冲罩
'mo'dao'shi'mo'nei'li'beng'fa 魔导使魔内力迸发
'xie'yan'fu'chong 邪炎俯冲
'kong'ju'pao'xiao 恐惧咆哮
'ran'shao'zhi'yi 燃烧之翼
'ran'shao'zhi'wei 燃烧之尾
'hei'an'long'yan'chong 黑暗龙炎冲
'mie'jue'zhi'shi 灭绝之诗
'bao'jun'zhi'tong 暴君之瞳
'gao'tiao 高跳
'zhui'hun'pao 追魂炮
'jue'mie 绝灭
'teng'long'qiang 腾龙枪
'zhou'sha 咒杀
'lie'yan'shi'zi'bao 烈焰十字爆
'si'ling'qian'zhi 死灵潜质
'an'yan'pen'fa 暗炎喷发
'cheng'jie'zhi'guang 惩戒之光
'e'mo'du'wu 恶魔毒雾
'mo'li'bao'zha 魔力爆炸
'mo'li'da'bao'zha 魔力大爆炸
'chao'ji'si 超即死
'di'yu'zhi'feng 地狱之风
'ji'pin'luo'yin 祭品烙印
'zhua'xi 爪袭
'jian'pao'she'ji 舰炮射击
'zhan'ye 粘液
'quan'mian'dong'jie 全面冻结
'bing'kuai 冰块
'bing'pian'fei'san 冰片飞散
'shou'jiao'qiang'gong 首角抢攻
'wan'lei 万雷
'shan'dian'lian 闪电链
'jia'la'di'weng'chao'ya'fu 加拉迪翁超压斧
'hei'wo'zhan 黑涡斩
'ge'mo'luo'di'bao'fu 哥摩罗地爆斧
'qiang'dan'di'yu 枪弹地狱
'jie'du'ji 解毒剂
'zha'dan'xian'jing 炸弹陷阱
'mo'ri'shen'pan 末日审判
'qin'ru 侵入
'xing'tai'bian'hua 形态变化
'yi'tai'xin'xing 以太新星
'mo'fa'bian'hua 魔发变化
'mo'fa'zhan 魔发斩
'fa'shao'fen'lie 发梢分裂
'jie'fa 接发
'zui'e'fa'gou 罪恶发钩
'zui'e'fa'xuan 罪恶发旋
'zui'e'fa'tuan 罪恶发团
'mo'fa'kuang'wu 魔发狂舞
'mo'li'xi'shou 魔力吸收
'zhi'fa 植发
'jiao'sha 绞杀
'xu'li'chong'ji 蓄力冲击
'ling'qi'bao 灵气爆
'tou'er'jian'xiao 透耳尖啸
'an'zhi'ci'zhua 暗之刺爪
'pen'tu'zhu'si 喷吐蛛丝
'po'tu'qiang'xi 破土强袭
'suo'xiao'she'xian 缩小射线
'jia'su'du'zha'dan 加速度炸弹
'xiang'xin'ju'bao 向心聚爆
'a'la'ke'nie'zhi'wang 阿剌克涅之网
'an'ying'bao 暗影爆
'zhi'zhu'si 蜘蛛丝
'kong'ju'shi'xian 恐惧视线
'zhan'ye'dan 粘液弹
'xiao'hua'ye 消化液
'zhi'zhu'xian'jing 蜘蛛陷阱
'ku'se'dan'zhi 苦涩胆汁
'zhi'ming'yao 致命咬
'bei'wen'mo'fa 碑文魔法
'bei'wen'huo'yan 碑文火炎
'bei'wen'lie'yan 碑文烈焰
'bei'wen'di'zhen 碑文地震
'bei'wen'he'bao 碑文核爆
'e'nian'jian'jiao 恶念尖叫
'gao'ya'long'juan 高压龙卷
'meng'huan'san'duan'zhan 梦幻三段斩
'du'ren 毒刃
'lie'shi'bao'huan 裂石暴环
'chong'dong 冲动
'mo'tao'qi'zhou'yin'jie'chu 魔陶器咒印解除
'mo'tao'qi'quan'jing 魔陶器全景
'mo'tao'qi'qiang'hua'zi'shen 魔陶器强化自身
'mo'tao'qi'qiang'hua'fang'yu 魔陶器强化防御
'mo'tao'qi'bao'xiang'zeng'jia 魔陶器宝箱增加
'mo'tao'qi'jian'shao'di'ren 魔陶器减少敌人
'mo'tao'qi'gai'bian'di'ren 魔陶器改变敌人
'mo'tao'qi'yun'qi'shang'sheng 魔陶器运气上升
'mo'tao'qi'xing'tai'bian'hua 魔陶器形态变化
'mo'tao'qi'mo'fa'xiao'guo'jie'chu 魔陶器魔法效果解除
'mo'tao'qi'man'ti'ke'hua 魔陶器曼提克化
'mo'tao'qi'meng'mo'hua 魔陶器梦魔化
'di'lei 地雷
'you'er'xian'jing 诱饵陷阱
'ruo'hua'xian'jing 弱化陷阱
'fang'ai'xian'jing 妨碍陷阱
'wa'bian'xian'jing 蛙变陷阱
'da'zhi'zhu'xian'jing 大蜘蛛陷阱
'po'mie'zhi'shi 破灭之诗
'zhan'shi'zhi'wei'li 战士之威力
'zhan'shi'zhi'bao'li 战士之暴力
'zhan'shi'zhi'huo'li 战士之活力
'wu'qi'qiang'hua 武器强化
'fang'ju'qiang'hua 防具强化
'pao'xiao 咆哮
'rong'mao'san'bo 绒毛散播
'mo'gu'mo'gu'hui'xuan 莫古莫古回旋
'shen'ti'jian'kang 身体健康
'hei'an'shou'ge 黑暗收割
'bing'ru'gao'huang 病入膏肓
'ming'hun'mi'yue 冥婚蜜月
'dian'kuang'shi'xian 癫狂视线
'huo'mai 活埋
'fu'chou'zhi'hun 复仇之魂
'wen'yi'zu'zhou 瘟疫诅咒
'mo'li'gong'ji 魔力供给
'suo'xiao'zhi'tong 缩小之瞳
'hun'luan'zhi'tong 混乱之瞳
'wa'bian'zhi'tong 蛙变之瞳
'zai'ban 再版
'fa'xing 发行
'ting'kan 停刊
'huo'hai 火海
'tu'jin 突进
'ke'yin 刻印
'xuan'ji 选集
'fu'kong'zhi'zhang 浮空之章
'zhong'li'zhi'zhang 重力之章
'hei'an'zhi'zhang 黑暗之章
'hun'an'zhi'zhang 昏暗之章
'bao'zhen'zhi'zhang 爆震之章
'long'juan'zhi'zhang 龙卷之章
'he'tong'zhi'zhang 河童之章
'bao'lei'zhi'zhang 暴雷之章
'hen'yuan'zhi'lei 恨怨之雷
'lei'xing'ti 类星体
'bu'ping'heng'shen'fa 不平衡神罚
'bu'ping'heng'zhi'fa 不平衡之罚
'zhuo're'shi'xian 灼热视线
'mo'qiang'tu'ci 魔枪突刺
'tong'ku'huan'ci 痛苦环刺
'qian'hou'jian'shou 前后坚守
'ce'mian'jian'shou 侧面坚守
'yin'yun'tian'tang 阴云天堂
'rui'zhi'zhi'tian'ping 睿智之天平
'guang'lu 光露
'tu'xi 突袭
'ru'yi'bao'zhu 如意宝珠
'meng'tu'jin 猛突进
'xiao'zhen'ce 小侦测
'mo'fa'chui 魔法锤
'yi'tai'qu'zhe 以太曲折
'gong'cheng'pao 攻城炮
'kong'jian'cuo'luan 空间错乱
'jia'su'ji'guang 加速激光
'yi'tai'chi 以太池
'yi'tai'liu'chu 以太流出
'chu'jue 处决
'fu'zhi 复制
'mo'qiang'luan'wu 魔枪乱舞
'ling'zhi 灵知
'rui'zhi'zhi'cheng 睿智之秤
'bao'lie'she'ji 爆裂射击
'lie'feng'bao'she 烈风爆射
'ji'feng'she'ji 疾风射击
'kong'xi 空袭
'qi'lang'bao 气浪爆
'shan'feng 扇风
'da'shan'feng 大扇风
'hei'xuan'feng 黑旋风
'shen'qing'ru'yan 身轻如燕
'niao'ren'ji'feng 鸟人疾风
'niao'ren'lie'feng 鸟人烈风
'niao'ren'bao'feng 鸟人暴风
'qu'ying 驱鹰
'zhao'huan'jia'lou'luo 召唤迦楼罗
'lve'shi 掠食
'jian'hui 坚喙
'luo'shi 落石
'gang'hui 钢喙
'sheng'yan 圣炎
'cheng'jie'she'xian 惩戒射线
'jing'hua'she'xian 净化射线
'shi'zi'sheng'li 十字圣礼
'bai'huo'sheng'li 拜火圣礼
'bai'wan'shen'sheng 百万神圣
'bai'guang'zhi'bian 白光之鞭
'zhong'li'yi'chang 重力异常
'fen'sui 粉碎
'shen'ming'yi'zhi 神明意志
'xiao'zhong'li 小重力
'xiao'shen'sheng 小神圣
'shen'sheng'shen'pan 神圣审判
'shi'jian'ting'zhi 时间停止
'wu'ming'shen'pan 污名神判
'zhong'fa'shen'pan 重罚神判
'lian'dai'shen'pan 连带神判
'shi'yue'shen'pan 誓约神判
'xiao'chao'zhong'li 小超重力
'shi'kong'men 时空门
'shen'pan'jie'jing 审判结晶
'jie'jing'po'sui 结晶破碎
'guo'qu'shen'pan 过去审判
'shi'kong'qian'xing 时空潜行
'zhao'huan'ya'li'shan'da 召唤亚历山大
'sheng'guang'zhi'bian 圣光之鞭
'shen'fa'she'xian 神罚射线
'chan'hui'qu 忏悔区
'zui'e'gan 罪恶感
'qiang'zhi'gao'jie 强制告解
'shen'sheng'bao'fa 神圣爆发
'sheng'can 圣餐
'hei'an'ming'yun 黑暗命运
'hei'an'xuan'feng 黑暗旋风
'tian'kong'da'ji 天空打击
'hei'an'suo'lian 黑暗锁链
'cui'hui 摧毁
'fu'ren'nian'sha 斧刃碾杀
'you'bei'zai'sheng 右臂再生
'zuo'bei'zai'sheng 左臂再生
'zhuang'jia'zai'sheng 装甲再生
'neng'liang'fang'chu 能量放出
'xi'shou 吸收
'fei'liao'quan 废料拳
'fei'liao'bao'fa 废料爆发
'fei'liao'feng'bao 废料风暴
'fei'liao'sui'jing'bei 废料碎颈臂
'er'zhong'sui'jing'bei 二重碎颈臂
'fei'liao'zha'dan 废料炸弹
'guang'ren 光刃
'zhun'bei'sheng'kong 准备升空
'bian'xing 变形
'nan'gua 南瓜
'cui'hui'zhe'po'huai'pao 摧毁者破坏炮
'sao'she'zhe'lu 扫射着陆
'zhi'dao 制导
'ying'shi'po'huai'pao 鹰式破坏炮
'chao'ji'ying'shi'po'huai'pao 超级鹰式破坏炮
'guang'zi'pao 光子炮
'luo'xuan'jiang'qiang'feng 螺旋桨强风
'bai'shi'ju'neng'pao 百式聚能炮
'you'guang'jian 右光剑
'zuo'guang'jian 左光剑
'cui'hui'zhe'chong'ji 摧毁者冲击
'hui'xuan'sui'ti 回旋碎踢
'chao'zeng'ya 超增压
'chao'dian'ci'bao'fa 超电磁爆发
'jiao'cha'guang'jian 交叉光剑
'xian'zhi'qi'jian'dang 限制器减档
'a'er'fa'zhi'jian 阿尔法之剑
'chao'ji'cui'hui'zhe'chong'ji 超级摧毁者冲击
'long'juan'feng 龙卷风
'yi'tai'guang'jian 以太光剑
'chui'ji 锤击
'han'bing'jian 寒冰箭
'ge'bu'liu'da'hui'xuan'zhan 哥布流大回旋斩
'chao'hui'xuan'zhan 超回旋斩
'ge'bu'liu'yue'ya'zhan 哥布流月牙斩
'zhan'ji 斩击
'zheng'qi'gun'lun 蒸汽滚轮
'dan'fa'tian'chong 单发填充
'er'lian'tian'chong 二连填充
